# Step Strain Stress Density
1 0.000000e+00 0.000000e+00 1.037330e+10 
2 0.000000e+00 0.000000e+00 1.037330e+10 
3 0.000000e+00 0.000000e+00 1.037330e+10 
4 0.000000e+00 0.000000e+00 1.037330e+10 
5 0.000000e+00 0.000000e+00 1.037330e+10 
6 0.000000e+00 0.000000e+00 1.037330e+10 
7 0.000000e+00 0.000000e+00 1.037330e+10 
8 0.000000e+00 0.000000e+00 1.037330e+10 
9 0.000000e+00 0.000000e+00 1.037330e+10 
10 0.000000e+00 0.000000e+00 1.037330e+10 
11 0.000000e+00 0.000000e+00 1.037330e+10 
12 0.000000e+00 0.000000e+00 1.037330e+10 
13 0.000000e+00 0.000000e+00 1.037330e+10 
14 0.000000e+00 0.000000e+00 1.037330e+10 
15 0.000000e+00 0.000000e+00 1.037330e+10 
16 0.000000e+00 0.000000e+00 1.037330e+10 
17 0.000000e+00 0.000000e+00 1.037330e+10 
18 0.000000e+00 0.000000e+00 1.037330e+10 
19 0.000000e+00 0.000000e+00 1.037331e+10 
20 0.000000e+00 0.000000e+00 1.037331e+10 
21 0.000000e+00 0.000000e+00 1.037331e+10 
22 0.000000e+00 0.000000e+00 1.037331e+10 
23 0.000000e+00 0.000000e+00 1.037332e+10 
24 0.000000e+00 0.000000e+00 1.037333e+10 
25 0.000000e+00 0.000000e+00 1.037334e+10 
26 0.000000e+00 0.000000e+00 1.037335e+10 
27 0.000000e+00 0.000000e+00 1.037339e+10 
28 0.000000e+00 0.000000e+00 1.037345e+10 
29 0.000000e+00 0.000000e+00 1.037353e+10 
30 0.000000e+00 0.000000e+00 1.037365e+10 
31 0.000000e+00 0.000000e+00 1.037379e+10 
32 0.000000e+00 0.000000e+00 1.037398e+10 
33 0.000000e+00 0.000000e+00 1.037445e+10 
34 0.000000e+00 0.000000e+00 1.037532e+10 
35 0.000000e+00 0.000000e+00 1.037676e+10 
36 0.000000e+00 0.000000e+00 1.037929e+10 
37 0.000000e+00 0.000000e+00 1.039285e+10 
38 0.000000e+00 0.000000e+00 1.037453e+10 
39 0.000000e+00 0.000000e+00 1.037375e+10 
